epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1111.38,0.86402,0.89318,0.89365,0.99808,1,0.995,0.6332,1.46528,1.15673,1.24701,0.000779,0.000779,0.000779
76,1124.67,0.89922,0.97187,0.99582,0.98845,1,0.995,0.6566,1.42009,1.1035,1.165,0.0007625,0.0007625,0.0007625
77,1138.11,0.88755,0.91103,0.97759,0.98525,1,0.995,0.61658,1.4671,1.07477,1.20273,0.000746,0.000746,0.000746
78,1151.89,0.81957,0.86809,0.95068,1,0.9953,0.995,0.6141,1.57199,1.15765,1.29259,0.0007295,0.0007295,0.0007295
79,1166.74,0.72793,0.81636,0.87028,1,0.9953,0.995,0.6141,1.57199,1.15765,1.29259,0.000713,0.000713,0.000713
80,1180.06,0.76844,0.84344,0.91424,1,0.98792,0.995,0.56382,1.66875,1.17115,1.40568,0.0006965,0.0006965,0.0006965
81,1193.24,0.84334,0.92572,0.93104,1,0.98624,0.995,0.52068,1.61822,1.20582,1.35027,0.00068,0.00068,0.00068
82,1206.42,0.83475,0.84362,0.9104,1,0.98825,0.995,0.57802,1.59628,1.12573,1.31382,0.0006635,0.0006635,0.0006635
83,1219.87,0.69793,0.77176,0.87455,1,0.98825,0.995,0.57802,1.59628,1.12573,1.31382,0.000647,0.000647,0.000647
84,1234.24,0.67841,0.83669,0.89342,1,0.99952,0.995,0.55537,1.61474,1.13875,1.29999,0.0006305,0.0006305,0.0006305
85,1248.75,0.84549,0.91234,0.98922,0.98277,1,0.995,0.54343,1.66691,1.12588,1.30657,0.000614,0.000614,0.000614
86,1263.63,0.72172,0.75518,0.89756,0.97823,1,0.995,0.54351,1.72268,1.1382,1.3101,0.0005975,0.0005975,0.0005975
87,1278.61,0.74471,0.78264,0.91169,0.97823,1,0.995,0.54351,1.72268,1.1382,1.3101,0.000581,0.000581,0.000581
88,1292.86,0.69419,0.79262,0.87895,0.98508,1,0.995,0.53023,1.74322,1.19359,1.29613,0.0005645,0.0005645,0.0005645
89,1308.38,0.7482,0.77589,0.91047,1,1,0.995,0.50087,1.69832,1.21318,1.26583,0.000548,0.000548,0.000548
90,1323.64,0.64731,0.70603,0.85417,0.99613,1,0.995,0.52698,1.65216,1.2229,1.23339,0.0005315,0.0005315,0.0005315
91,1338.97,0.64749,0.7013,0.87186,0.99613,1,0.995,0.52698,1.65216,1.2229,1.23339,0.000515,0.000515,0.000515
92,1354.59,0.69717,0.75266,0.90574,0.99018,1,0.995,0.53474,1.61821,1.20223,1.22326,0.0004985,0.0004985,0.0004985
93,1370.09,0.62519,0.7042,0.87274,0.9898,1,0.995,0.56499,1.60848,1.18639,1.20776,0.000482,0.000482,0.000482
94,1384.81,0.78666,0.87095,0.91886,0.99004,1,0.995,0.53188,1.60767,1.16828,1.20157,0.0004655,0.0004655,0.0004655
95,1398.88,0.66994,0.80128,0.93637,0.99004,1,0.995,0.53188,1.60767,1.16828,1.20157,0.000449,0.000449,0.000449
96,1414.13,0.66854,0.75126,0.92267,0.98693,1,0.995,0.52638,1.56905,1.13282,1.18623,0.0004325,0.0004325,0.0004325
97,1428.86,0.62744,0.74563,0.89557,0.98476,1,0.995,0.53741,1.55305,1.05202,1.18974,0.000416,0.000416,0.000416
98,1444.47,0.60958,0.70172,0.89256,0.98586,1,0.995,0.58315,1.51071,0.98976,1.17381,0.0003995,0.0003995,0.0003995
99,1460.02,0.67056,0.77695,0.9122,0.98586,1,0.995,0.58315,1.51071,0.98976,1.17381,0.000383,0.000383,0.000383
100,1476.66,0.69368,0.72776,0.9086,0.98759,1,0.995,0.58315,1.52373,0.98119,1.20518,0.0003665,0.0003665,0.0003665
101,1491.79,0.67651,0.76498,0.89179,0.98851,1,0.995,0.58315,1.53742,0.97723,1.25249,0.00035,0.00035,0.00035
102,1505.48,0.54951,0.69422,0.88396,0.98918,1,0.995,0.58332,1.56179,0.97163,1.30398,0.0003335,0.0003335,0.0003335
103,1518.95,0.58783,0.69905,0.87278,0.98918,1,0.995,0.58332,1.56179,0.97163,1.30398,0.000317,0.000317,0.000317
104,1532.08,0.63871,0.7305,0.90274,0.98939,1,0.995,0.56749,1.59978,0.97291,1.36505,0.0003005,0.0003005,0.0003005
105,1545.17,0.54201,0.70768,0.89209,0.98878,1,0.995,0.59111,1.61698,0.95314,1.41899,0.000284,0.000284,0.000284
106,1558.26,0.60495,0.67174,0.88977,0.98841,1,0.995,0.57628,1.65091,0.96919,1.44408,0.0002675,0.0002675,0.0002675
107,1571,0.66112,0.83421,0.93785,0.98841,1,0.995,0.57628,1.65091,0.96919,1.44408,0.000251,0.000251,0.000251
108,1583.43,0.58253,0.60913,0.85379,0.98883,1,0.995,0.54825,1.69355,0.98735,1.46477,0.0002345,0.0002345,0.0002345
109,1595.26,0.60947,0.72219,0.85944,0.98914,1,0.995,0.55158,1.73001,1.01798,1.47079,0.000218,0.000218,0.000218
110,1606.9,0.60954,0.73011,0.88675,0.98839,1,0.995,0.55159,1.72134,1.03268,1.44706,0.0002015,0.0002015,0.0002015
111,1618.53,0.54095,0.70234,0.84286,0.98839,1,0.995,0.55159,1.72134,1.03268,1.44706,0.000185,0.000185,0.000185
112,1632.21,0.51755,0.69976,0.84084,0.98641,1,0.995,0.55168,1.70378,1.05335,1.40881,0.0001685,0.0001685,0.0001685
113,1647.4,0.59255,0.76218,0.90779,0.98695,1,0.995,0.55277,1.66994,1.03526,1.36653,0.000152,0.000152,0.000152
114,1662.01,0.53009,0.721,0.89617,0.98734,1,0.995,0.55171,1.64413,1.01115,1.3288,0.0001355,0.0001355,0.0001355
115,1674.68,0.5249,0.66013,0.84147,0.98734,1,0.995,0.55171,1.64413,1.01115,1.3288,0.000119,0.000119,0.000119
116,1686.49,0.50614,0.69215,0.82974,0.98668,1,0.995,0.58595,1.63473,1.0287,1.31426,0.0001025,0.0001025,0.0001025
117,1698.19,0.50713,0.68173,0.83513,0.98699,1,0.995,0.58608,1.6333,1.03843,1.31501,8.6e-05,8.6e-05,8.6e-05
118,1710.17,0.50189,0.68705,0.85452,0.98701,1,0.995,0.55511,1.62883,1.04226,1.31831,6.95e-05,6.95e-05,6.95e-05
119,1721.86,0.48043,0.6573,0.83602,0.98701,1,0.995,0.55511,1.62883,1.04226,1.31831,5.3e-05,5.3e-05,5.3e-05
120,1733.5,0.54866,0.69645,0.92702,0.98672,1,0.995,0.55392,1.63493,1.04964,1.32729,3.65e-05,3.65e-05,3.65e-05
